CNAE,TOTAL
"0121101","131"
"0159801","226"
"0159802","897"
"0161002","465"
"0161003","2946"
"0162802","17"
"0321304","41"
"0322104","162"
"0892401","11"
"1013901","509"
"1031700","434"
"1032599","147"
"1033301","162"
"1033302","231"
"1052000","456"
"1061902","8"
"1063500","50"
"1064300","16"
"1065101","32"
"1069400","25"
"1071600","20"
"1091101","5198"
"1091102","24090"
"1092900","539"
"1093701","1232"
"1093702","212"
"1094500","2872"
"1095300","242"
"1096100","4675"
"1099601","13"
"1099604","284"
"1099605","59"
"1099699","49"
"1122403","30"
"1220499","8"
"1311100","8"
"1312000","7"
"1321900","13"
"1322700","36"
"1340501","1614"
"1340599","1922"
"1351100","282"
"1352900","150"
"1353700","11"
"1359600","4687"
"1411801","983"
"1411802","1031"
"1412601","11916"
"1412602","11674"
"1412603","2580"
"1413403","647"
"1414200","113"
"1421500","2"
"1422300","1141"
"1510600","3"
"1521100","656"
"1529700","538"
"1531901","52"
"1531902","587"
"1539400","221"
"1540800","28"
"1622699","2343"
"1623400","68"
"1629301","2295"
"1629302","426"
"1721400","45"
"1731100","173"
"1732000","120"
"1742799","9"
"1749400","3096"
"1813001","1508"
"1813099","1589"
"1821100","2653"
"1822901","431"
"2219600","443"
"2229399","402"
"2319200","196"
"2330302","1"
"2330399","1224"
"2342702","58"
"2349499","1022"
"2391501","50"
"2391503","1038"
"2399101","384"
"2449199","1"
"2512800","1209"
"2532201","219"
"2539001","3525"
"2539002","74"
"2541100","28"
"2542000","10215"
"2543800","241"
"2599301","1546"
"2599399","519"
"2740602","77"
"2950600","399"
"3101200","9571"
"3102100","74"
"3103900","302"
"3104700","46"
"3211601","46"
"3211602","330"
"3211603","5"
"3212400","6323"
"3220500","111"
"3230200","93"
"3240099","303"
"3291400","190"
"3292202","84"
"3299001","10"
"3299002","98"
"3299003","764"
"3299004","305"
"3299005","101"
"3299006","471"
"3299099","12574"
"3311200","308"
"3312103","1"
"3313901","638"
"3313902","33"
"3313999","450"
"3314701","123"
"3314702","669"
"3314706","268"
"3314707","3429"
"3314708","1"
"3314709","61"
"3314710","434"
"3314711","141"
"3314712","30"
"3314719","246"
"3314720","182"
"3314799","170"
"3317102","669"
"3319800","516"
"3321000","2505"
"3329501","4035"
"3600602","224"
"3702900","187"
"3811400","991"
"3831901","700"
"3831999","553"
"3832700","686"
"3839499","437"
"4120400","6"
"4321500","28256"
"4322301","4230"
"4322302","10286"
"4322303","536"
"4329101","737"
"4329102","175"
"4329103","306"
"4329104","295"
"4329105","310"
"4329199","1"
"4330402","1333"
"4330403","4270"
"4330404","18242"
"4330405","3078"
"4330499","3610"
"4399103","70220"
"4399105","207"
"4399199","591"
"4511101","1"
"4511102","2"
"4520001","16937"
"4520002","6903"
"4520003","2680"
"4520005","6166"
"4520006","2977"
"4520007","3721"
"4520008","616"
"4530703","5881"
"4530704","1372"
"4530705","190"
"4541206","2682"
"4541207","271"
"4543900","3019"
"4618401","1"
"4618402","1"
"4618499","1"
"4619200","1"
"4632002","1"
"4632003","1"
"4639701","1"
"4669999","1"
"4687703","1"
"4712100","20891"
"4713002","3920"
"4721102","6787"
"4721103","5474"
"4721104","2295"
"4722901","2979"
"4722902","2087"
"4723700","29153"
"4724500","10926"
"4729601","1005"
"4729699","12294"
"4732600","292"
