MUNICIPIO,CNAE,TOTAL
"RIO DE JANEIRO","9700500","10602"
"RIO DE JANEIRO","9609299","1742"
"RIO DE JANEIRO","9609208","2918"
"RIO DE JANEIRO","9609207","603"
"RIO DE JANEIRO","9609206","2080"
"RIO DE JANEIRO","9609202","170"
"RIO DE JANEIRO","9603304","149"
"RIO DE JANEIRO","9602502","18162"
"RIO DE JANEIRO","9602501","54400"
"RIO DE JANEIRO","9601703","72"
"RIO DE JANEIRO","9601702","21"
"RIO DE JANEIRO","9601701","382"
"RIO DE JANEIRO","9529199","496"
"RIO DE JANEIRO","9529106","481"
"RIO DE JANEIRO","9529105","914"
"RIO DE JANEIRO","9529104","185"
"RIO DE JANEIRO","9529103","173"
"RIO DE JANEIRO","9529102","1164"
"RIO DE JANEIRO","9529101","154"
"RIO DE JANEIRO","9521500","1472"
"RIO DE JANEIRO","9512600","2657"
"RIO DE JANEIRO","9511800","7314"
"RIO DE JANEIRO","9329899","1157"
"RIO DE JANEIRO","9329804","37"
"RIO DE JANEIRO","9329803","10"
"RIO DE JANEIRO","9002702","307"
"RIO DE JANEIRO","9001999","2"
"RIO DE JANEIRO","9001906","2656"
"RIO DE JANEIRO","9001902","4733"
"RIO DE JANEIRO","9001901","2090"
"RIO DE JANEIRO","8712300","15868"
"RIO DE JANEIRO","8690901","1"
"RIO DE JANEIRO","8660700","1"
"RIO DE JANEIRO","8650004","1"
"RIO DE JANEIRO","8650003","1"
"RIO DE JANEIRO","8650002","3"
"RIO DE JANEIRO","8630502","1"
"RIO DE JANEIRO","8599699","19891"
"RIO DE JANEIRO","8599605","1373"
"RIO DE JANEIRO","8599604","9663"
"RIO DE JANEIRO","8599603","2420"
"RIO DE JANEIRO","8593700","1466"
"RIO DE JANEIRO","8592999","5068"
"RIO DE JANEIRO","8592903","890"
"RIO DE JANEIRO","8592902","523"
"RIO DE JANEIRO","8591100","2"
"RIO DE JANEIRO","8550302","1"
"RIO DE JANEIRO","8299799","567"
"RIO DE JANEIRO","8299707","534"
"RIO DE JANEIRO","8299703","20"
"RIO DE JANEIRO","8292000","104"
"RIO DE JANEIRO","8291100","1614"
"RIO DE JANEIRO","8230002","932"
"RIO DE JANEIRO","8230001","17832"
"RIO DE JANEIRO","8219999","20457"
"RIO DE JANEIRO","8219901","382"
"RIO DE JANEIRO","8211300","1"
"RIO DE JANEIRO","8130300","2506"
"RIO DE JANEIRO","8129000","1258"
"RIO DE JANEIRO","8121400","2"
"RIO DE JANEIRO","8020002","280"
"RIO DE JANEIRO","8011102","179"
"RIO DE JANEIRO","7990200","670"
"RIO DE JANEIRO","7912100","1680"
"RIO DE JANEIRO","7911200","4059"
"RIO DE JANEIRO","7810800","1"
"RIO DE JANEIRO","7739099","251"
"RIO DE JANEIRO","7739003","141"
"RIO DE JANEIRO","7739002","99"
"RIO DE JANEIRO","7733100","77"
"RIO DE JANEIRO","7732202","62"
"RIO DE JANEIRO","7732201","153"
"RIO DE JANEIRO","7731400","18"
"RIO DE JANEIRO","7729299","26"
